# number	RA[deg]	dec[deg]	Vmagnitude
453	23.978333	17.433611	5.80
454	24.199167	41.405556	4.09
455	23.995833	-14.599722	5.42
456	23.813333	-57.860556	6.01
457	24.531667	57.977500	5.56
458	24.035000	-28.092500	5.69
459	24.274583	12.141667	5.57
460	24.498333	48.628333	3.57
461	24.632083	45.400000	6.36
462	24.407083	-8.596111	6.24
463	23.413333	-77.495278	6.11
464	24.186667	-57.729167	6.18
465	24.837500	44.386111	4.98
466	25.054583	53.868333	6.39
467	24.614167	-35.471667	5.94
468	24.428750	-56.763333	0.46
469	24.715833	-20.724722	5.58
470	24.708333	-24.978056	6.70
471	24.920000	16.405833	5.97
472	25.165833	43.297778	5.61
473	25.145000	40.576944	4.94
474	25.585417	68.043056	5.59
475	24.700833	-52.561111	6.84
476	25.732917	70.622500	5.18
477	25.512500	61.038333	6.71
478	25.574167	58.627778	6.37
479	25.446667	42.613611	4.95
480	25.326667	25.745833	6.17
481	25.413333	30.047222	5.99
482	24.947500	-55.801944	5.87
483	24.949167	-55.805278	5.76
484	25.743333	61.421667	6.34
485	25.357917	5.487500	4.44
486	25.514583	35.245556	5.64
487	25.832083	60.551111	5.78
488	25.436250	-10.675278	5.75
489	25.624167	20.268611	5.24
490	25.363750	-37.866944	6.17
491	25.818750	45.322222	6.34
492	25.915000	50.688611	4.07
493	25.535833	-31.673056	5.25
494	25.512500	-35.167500	5.72
495	26.074583	57.536389	6.21
496	25.681250	-2.309722	4.99
497	25.421250	-49.961111	6.64
498	26.192083	57.089167	6.25
499	25.958333	32.191667	6.34
500	26.110417	46.139722	6.35
501	25.450000	-59.210556	5.71
502	25.622083	-52.259444	5.52
503	25.978333	-3.234444	6.19
504	26.232500	20.083056	6.27
505	26.017083	-14.062500	3.50
506	26.348333	9.157778	4.26
507	26.936667	63.852222	5.63
508	24.481667	-81.025000	5.87
509	26.497083	-4.266667	5.34
510	26.411667	-24.947500	5.31
511	26.647083	17.413056	6.55
512	25.338750	-78.851667	6.33
513	26.504167	-26.650833	6.39
514	26.950000	46.229722	6.32
515	26.524167	-49.183611	5.49
516	26.526250	-52.478056	5.04
517	27.162083	37.952778	5.94
518	27.045417	16.955556	5.84
519	27.173333	32.690278	5.79
520	26.820000	-40.240000	6.18
521	24.366667	-83.230278	5.69
522	27.315417	47.896944	5.82
523	27.108333	3.685556	5.91
524	26.949167	-36.840278	6.32
525	27.737917	51.933333	5.90
526	27.535417	22.275278	5.86
527	27.396250	-9.313611	4.67
528	27.331250	-30.927222	6.34
529	27.997083	55.147500	5.52
530	27.716667	11.043333	5.94
531	27.453333	-37.596111	6.37
532	28.039167	50.792778	5.79
533	27.584167	-46.183611	6.14
534	28.211667	51.474722	6.26
535	27.865000	-9.665000	3.73
536	28.452083	55.598056	6.45
537	27.727083	-49.793889	5.94
538	28.598750	63.670000	3.38
539	28.322083	40.729722	5.40
540	28.270417	29.578889	3.41
541	28.382500	19.295833	4.83
542	28.382500	19.293611	4.75
543	28.217083	-15.070833	5.80
544	29.000000	68.685278	4.99
545	28.388750	3.187500	4.62
546	26.943750	-79.823333	6.06
547	28.724167	40.701944	6.24
548	28.739583	37.128333	6.26
549	28.660000	20.808056	2.64
550	28.346667	-37.405278	6.10
551	28.411667	-45.697500	4.41
552	28.976667	37.277778	5.89
553	29.038750	37.251667	5.67
554	28.591667	-41.503056	5.11
555	28.962500	23.577222	5.74
556	28.974167	1.849722	6.01
557	29.638750	61.698056	6.02
558	29.485000	41.694444	6.78
559	29.337917	17.817500	5.10
560	29.432500	27.804444	5.82
561	29.167500	-21.473056	4.85
562	28.989583	-50.391111	3.70
563	29.908333	64.621389	5.26
564	29.640000	49.204167	5.69
565	29.482083	23.596111	4.79
566	28.733750	-66.352778	4.69
567	28.943333	-59.138611	6.06
568	30.738333	77.916389	6.04
569	29.250417	-50.233889	6.10
570	29.291667	-46.615000	4.83
571	30.489167	70.906944	4.54
572	29.611250	-32.933333	6.35
573	29.898750	21.058333	5.87
574	29.857917	12.294722	6.09
575	30.793750	73.850556	6.23
576	30.858750	72.421389	3.98
577	31.280833	77.281389	5.38
578	30.038333	3.097222	5.88
579	29.942083	-19.175556	5.41
580	29.473333	-64.575278	6.37
581	30.001250	-20.922222	4.00
582	30.719583	64.901389	6.00
583	30.112083	-7.476389	5.51
584	29.911667	-41.969444	5.57
585	30.751250	64.390000	5.58
