# BSCnumber	RA[deg]	dec[deg]	Vmagnitude	dist[pc]
284	39.244167	-33.421667	5.79	17.857
285	39.704167	21.961389	5.43	76.923
286	41.948333	81.448333	5.78	76.923
287	37.918750	-78.890556	5.28	1000.000
288	39.351667	-51.456944	5.31	40.000
289	39.870833	0.328611	4.07	1000.000
290	39.890833	-10.127778	4.84	13.889
291	40.171250	27.060833	5.30	500.000
292	40.562083	40.193889	4.91	23.256
293	39.950000	-41.108333	4.75	35.714
294	40.307917	0.695833	5.71	27.778
295	40.166667	-38.144444	4.11	26.316
296	41.050000	49.228333	4.12	12.987
297	40.165000	-53.450000	5.21	32.258
298	40.825000	3.235833	3.47	19.231
299	40.639583	-49.199722	5.41	14.493
300	41.240000	12.445833	5.18	37.037
301	41.235417	10.114167	4.27	21.739
302	40.834583	-39.472500	6.36	111.111
303	41.275833	-17.427500	4.47	13.889
304	41.764583	35.555000	6.30	76.923
305	40.860833	-65.285556	6.26	100.000
306	41.977083	29.247222	4.51	37.037
307	42.994583	68.888611	5.80	100.000
308	42.674167	55.895556	3.76	166.667
309	41.385833	-66.383333	4.84	111.111
310	42.495833	27.260556	3.63	29.412
311	42.646250	38.318611	4.23	41.667
312	42.272500	-31.594167	4.46	38.462
313	42.878333	35.059722	4.53	250.000
314	42.475833	-26.058333	5.39	40.000
315	43.216667	52.997778	6.36	250.000
316	42.759583	-20.995833	4.75	32.258
317	42.668333	-34.323889	5.47	58.824
318	42.256250	-61.193333	5.26	1000.000
319	43.564583	52.762500	3.95	52.632
320	43.427500	38.337500	5.33	90.909
321	43.133750	-11.230556	6.04	8.264
322	43.952083	18.331667	5.91	71.429
323	43.470417	-48.109722	4.00	76.923
324	44.108750	18.023056	5.63	26.316
325	42.618750	-74.933056	4.75	90.909
326	44.322083	31.934167	5.11	333.333
327	44.107083	-7.101944	3.89	30.303
328	44.155833	-2.287778	5.17	38.462
329	44.521667	20.668611	5.80	33.333
330	44.690417	39.662778	4.70	111.111
331	46.532500	79.418611	5.49	125.000
332	44.348750	-22.138056	5.45	34.483
333	44.957917	47.220833	5.47	142.857
334	44.802917	21.340278	4.63	200.000
335	44.802917	21.340278	4.63	200.000
336	44.675000	-1.217500	5.23	62.500
337	44.565417	-39.695278	3.24	28.571
338	44.567917	-39.695556	4.35	28.571
339	44.900417	-24.725833	5.71	34.483
340	47.928333	81.470556	5.95	55.556
341	45.570000	4.089722	2.53	111.111
342	45.407083	-27.908333	5.89	25.641
343	46.199167	53.506389	2.93	62.500
344	46.385000	56.705833	4.76	200.000
345	45.597917	-22.375556	4.09	16.949
346	46.294167	38.840278	3.39	90.909
347	46.068333	-6.399167	5.26	38.462
348	46.361250	25.255278	6.80	250.000
349	46.361250	25.255278	7.00	250.000
350	47.984583	74.393611	4.87	31.250
351	45.903333	-58.262222	5.11	40.000
352	47.042083	40.955556	2.12	22.222
353	47.266667	49.613333	4.05	11.905
354	45.564167	-70.097500	5.53	9.709
355	47.088333	18.795000	6.27	31.250
356	47.374167	44.857222	3.80	30.303
357	47.822500	39.611667	4.63	43.478
358	47.907500	19.726667	4.35	37.037
359	50.082083	77.734722	5.45	71.429
360	48.193333	-0.803889	5.06	17.544
361	48.017917	-27.013056	3.87	13.333
362	53.083750	84.911111	5.61	38.462
363	49.381667	65.658611	6.36	200.000
364	48.107500	-43.580278	5.93	40.000
365	49.050833	50.937778	5.03	100.000
366	48.725417	21.044444	4.89	50.000
367	49.297500	40.483333	6.45	250.000
368	49.003750	-4.081389	6.17	25.641
369	48.958333	-7.180278	4.80	40.000
370	49.997500	65.652222	4.84	111.111
371	49.682500	34.222778	4.82	83.333
372	49.593333	0.930278	5.38	58.824
373	49.592083	-21.488611	4.88	35.714
374	49.840417	3.370278	4.83	9.259
375	49.671667	-17.440278	5.71	34.483
376	50.085000	29.048333	4.47	125.000
377	50.469167	49.070833	5.93	66.667
378	50.360417	43.329444	4.95	38.462
379	49.879167	-20.242222	3.69	76.923
380	49.442500	-61.424722	5.54	10.309
381	49.982083	-42.930278	4.27	6.410
382	51.168750	64.586111	5.23	111.111
383	49.553750	-61.493611	5.24	10.989
384	50.688333	20.741944	5.09	125.000
385	51.080833	49.861111	1.79	62.500
386	50.824167	-6.205833	6.20	29.412
387	51.203333	9.028889	3.60	62.500
388	52.098333	60.255556	6.49	166.667
389	51.792500	9.732778	3.74	58.824
390	52.547083	59.366111	6.13	250.000
391	52.342083	49.508889	4.67	55.556
392	52.500833	55.451944	5.09	40.000
393	52.643750	47.995278	4.36	250.000
394	52.602083	11.336389	5.14	500.000
395	52.836667	27.571944	5.96	111.111
396	52.718333	12.936667	4.11	83.333
397	53.383750	58.765000	6.40	111.111
398	53.109583	46.056944	5.31	32.258
399	53.753333	60.041111	6.46	47.619
400	52.344583	-61.062500	4.72	16.667
401	53.232500	-8.541667	3.73	3.300
402	53.534583	17.832778	6.17	45.455
403	53.610833	24.464444	5.92	166.667
404	53.486667	-30.919722	6.20	41.667
405	54.197083	0.587778	5.71	31.250
406	54.072500	-16.533056	5.23	71.429
407	54.218333	0.401667	4.28	18.519
408	55.538750	63.216667	5.10	500.000
409	54.273750	-39.725278	4.58	90.909
410	62.506250	86.626111	5.86	45.455
411	54.754583	-4.373889	5.96	35.714
412	55.731250	47.787500	3.01	62.500
413	56.503750	67.201667	5.80	250.000
414	56.079583	32.288333	3.83	43.478
415	56.298333	42.578611	3.77	50.000
416	55.812083	-8.236667	3.54	9.174
417	57.307500	70.871111	5.44	58.824
418	56.200833	24.289444	5.46	83.333
419	56.218750	24.113333	3.70	50.000
420	55.708750	-36.686389	4.59	35.714
421	57.589583	71.332222	4.63	83.333
422	57.380000	65.526111	4.47	71.429
423	56.969167	33.600000	6.57	200.000
424	56.871250	24.105000	2.87	125.000
425	56.712083	-22.750278	4.23	16.949
426	57.067917	11.143333	5.07	90.909
427	56.050000	-63.193056	3.85	23.810
428	57.385833	33.091389	5.11	333.333
429	57.290417	24.053333	3.63	38.462
430	57.296667	24.136667	5.09	83.333
431	56.915000	-22.125278	5.24	71.429
432	56.983333	-29.832222	5.54	125.000
433	57.578750	25.579444	5.26	55.556
434	57.147500	-36.377778	5.40	41.667
435	57.149583	-36.379444	4.73	41.667
436	57.363750	-35.799722	4.17	40.000
437	58.411250	48.650556	5.76	50.000
438	58.291667	17.326944	5.97	33.333
439	58.173333	-4.638611	5.48	55.556
440	58.532917	31.883611	2.85	100.000
441	59.284583	61.108889	5.00	66.667
442	56.809583	-73.761111	3.24	200.000
443	58.845833	31.045833	6.10	500.000
444	59.152083	50.695278	5.28	27.778
445	58.572500	-1.047222	6.14	250.000
446	58.572917	-1.045278	4.79	250.000
447	59.217083	22.478056	5.63	33.333
448	59.463333	40.010278	2.89	111.111
449	59.741250	35.791111	4.04	250.000
450	59.916667	38.820556	6.38	200.000
451	62.511667	80.698611	5.10	200.000
452	59.507500	-12.491389	2.95	100.000
453	60.170000	12.490278	3.47	500.000
454	59.981250	-23.983611	4.66	66.667
455	59.686250	-60.599722	4.56	1000.000
456	60.652917	0.268889	5.38	17.544
457	60.789167	5.989167	3.91	33.333
458	61.090417	24.105833	5.47	71.429
459	60.985833	8.197222	5.46	33.333
460	61.173750	22.081944	4.36	76.923
461	61.041250	2.826944	5.36	50.000
462	61.334167	22.008889	5.90	15.873
463	60.325833	-60.921111	4.97	71.429
464	55.633750	-84.737778	6.41	125.000
465	62.165417	47.712500	4.04	50.000
466	61.405833	-26.348333	5.59	22.222
467	62.063750	37.727778	6.09	50.000
468	62.152500	38.039722	5.51	20.408
469	61.925000	15.162778	6.01	142.857
470	61.997500	17.339722	5.89	166.667
471	62.291667	19.609167	5.50	43.478
472	67.054167	83.807778	5.57	333.333
473	62.834583	5.523056	5.72	31.250
474	61.840000	-63.777500	6.38	26.316
475	62.966250	-5.162500	4.04	30.303
476	62.710833	-40.006389	4.93	83.333
477	63.724583	48.409444	4.14	58.824
478	67.500417	83.340556	5.46	66.667
479	63.722083	40.483611	4.71	250.000
